HOG	OG	Gene Tree Parent Clade	Scerevisiae	Ndairenensis	Smikatae	Skudriavzevii	Tblattae	Suvarum	Tphaffii	Tdelbrueckii	Zrouxii	Vpolyspora	Ecymbalariae	Cglabrata	Kafricana	Egossypii	Knaganishii	Klactis	Lthermotolerans	Lkluyveri	Ncastellii	Lwaltii
N0.HOG0001296	OG0000878	n0	YOR187W	NDAI0D02650	Smik_15.372	Skud_15.354	TBLA0A09820	Suva_12.258, Suva_8.243	TPHA0K01030	TDEL0G03760	ZYRO0D14916g	Kpol_1009.12	Ecym_3093	CAGL0G09581g	KAFR0G02380	AAR143W	KNAG0M00920	KLLA0A04587g, KLLA0C05214g	KLTH0H07084g	SAKL0A07656g	NCAS0F00460	Kwal_14.1904
N0.HOG0001297	OG0000879	n0	YPL246C	NDAI0F01260	Smik_6.450	Skud_16.33	TBLA0G01600	Suva_16.61	TPHA0D03580, TPHA0H01940	TDEL0A06870	ZYRO0E08140g	Kpol_1060.25, Kpol_1002.15	Ecym_2141	CAGL0H00803g	KAFR0F01070	AFL155C	KNAG0D00750	KLLA0D12804g	KLTH0H02816g	SAKL0A03014g	NCAS0G01130	Kwal_56.24324
N0.HOG0001298	OG0000880	n0	YPL242C	NDAI0F01300	Smik_6.446	Skud_16.37	TBLA0A02270	Suva_16.65	TPHA0D03530	TDEL0A06820	ZYRO0E08030g	Kpol_1060.30	Ecym_2146	CAGL0H00891g	KAFR0F01110	AFL150C	KNAG0D00790	KLLA0D12914g	KLTH0H02926g	SAKL0A03190g	NCAS0G01170	Kwal_56.24295, Kwal_YGOB_56.24295, Kwal_56.24302
N0.HOG0001299	OG0000881	n0	YNL011C	NDAI0G00830	Smik_14.317	Skud_14.316	TBLA0C01310	Suva_14.336	TPHA0O01250	TDEL0B06120	ZYRO0E05082g	Kpol_1048.71	Ecym_1308	CAGL0H03619g	KAFR0H03180	AAL024C	KNAG0H01650	KLLA0F12276g	KLTH0H11968g	SAKL0D08382g	NCAS0G03640	Kwal_0.182, Kwal_YGOB_Anc_1.394, Kwal_0.184
N0.HOG0001300	OG0000882	n0	YNL007C	NDAI0C02610, NDAI0G04250	Smik_14.321	Skud_14.320	TBLA0C01480	Suva_14.341	TPHA0B03760	TDEL0B05960	ZYRO0E04598g	Kpol_457.15	Ecym_1292	CAGL0H03707g	KAFR0H03150	AAL008W	KNAG0H01680	KLLA0D04818g	KLTH0H12100g	SAKL0D08778g	NCAS0G03610, NCAS0C04890	Kwal_0.207
N0.HOG0001301	OG0000883	n0	YML076C	NDAI0D03180	Smik_13.64	Skud_13.66	TBLA0E04750, TBLA0B06240	Suva_13.76	TPHA0B01585, TPHA0B00410	TDEL0D00730	ZYRO0B14718g	Kpol_1001.3	Ecym_1135	CAGL0H04367g	KAFR0I00280	AER153W	KNAG0E04100	KLLA0B04620g	KLTH0D16852g	SAKL0G17908g	NCAS0A06190	Kwal_47.16862
N0.HOG0001302	OG0000884	n0	YBL092W	NDAI0E04000	Smik_2.27	Skud_2.15	TBLA0I01020	Suva_2.24	TPHA0E00690	TDEL0C02860	ZYRO0B04114g	Kpol_1018.110	Ecym_7129	CAGL0H04521g	KAFR0L01930, KAFR0K02040	AGL281C	KNAG0C03290	KLLA0E06843g	KLTH0C05918g	SAKL0F13222g	NCAS0E02430, NCAS0A14610	Kwal_27.10688
N0.HOG0001303	OG0000885	n0	YML013W	NDAI0C00980	Smik_13.138	Skud_13.138	TBLA0A06950	Suva_13.147	TPHA0D02440	TDEL0A04060	ZYRO0D12914g	Kpol_1004.33	Ecym_4078	CAGL0H04785g	KAFR0C05470	ADR182W	KNAG0B03600	KLLA0B01001g	KLTH0G04136g	SAKL0G05280g	NCAS0H02640	Kwal_47.18570, Kwal_47.18566, Kwal_YGOB_47.18566
N0.HOG0001304	OG0000886	n0	YLR377C	NDAI0J02100	Smik_12.464	Skud_12.462	TBLA0A08140	Suva_10.494	TPHA0B00900	TDEL0E01450	ZYRO0B07304g	Kpol_483.3	Ecym_2774	CAGL0I04048g, CAGL0H04939g	KAFR0A06100	AFR593C	KNAG0D04280, KNAG0B05960	KLLA0E01211g	KLTH0D13794g	SAKL0H03740g	NCAS0J01330	Kwal_26.9328
N0.HOG0001305	OG0000887	n0	YPL075W	NDAI0E02800	Smik_16.161	Skud_16.207	TBLA0B04590, TBLA0H03610	Suva_16.237	TPHA0I01890	TDEL0B03030	ZYRO0D03916g	Kpol_1024.43, Kpol_1048.60	Ecym_7037	CAGL0H05379g	KAFR0E00910	AEL245W	KNAG0A01950	KLLA0E23431g	KLTH0E12584g	SAKL0H10010g	NCAS0C02090	Kwal_27.12044
N0.HOG0001306	OG0000888	n0	YPL082C	NDAI0E02740	Smik_16.155	Skud_16.201	TBLA0H03680	Suva_16.230	TPHA0I01830	TDEL0B02900	ZYRO0A13244g	Kpol_1048.54	Ecym_7048	CAGL0H05533g	KAFR0E00850	AEL256C	KNAG0A01890	KLLA0E23717g	KLTH0E12870g	SAKL0H09724g	NCAS0C02030	Kwal_YGOB_27.12097, Kwal_27.12097, Kwal_27.12100
N0.HOG0001307	OG0000889	n0	YAL018C	NDAI0H02480	Smik_1.49	Skud_1.43	TBLA0A04710	Suva_1.49	TPHA0H02640	TDEL0H03650	ZYRO0D05478g	Kpol_1040.19	Ecym_6316	CAGL0H06237g	KAFR0K00710	ADR122C	KNAG0D04790	KLLA0F07601g	KLTH0D02442g, KLTH0D02464g	SAKL0B09878g	NCAS0F01590	Kwal_26.7153, Kwal_26.7152
N0.HOG0001308	OG0000890	n0	YIL159W	NDAI0F00160	Smik_9.9	Skud_9.8	TBLA0E01810	Suva_9.26	TPHA0E00120	TDEL0F05560	ZYRO0B16654g	Kpol_416.10	Ecym_4004, Ecym_5679	CAGL0H06765g	KAFR0D02120	AFR301C, AGL364C	KNAG0L02250	KLLA0F10912g	KLTH0E00704g	SAKL0E15224g	NCAS0G00120	Kwal_55.19620
N0.HOG0001309	OG0000891	n0	YBR159W	NDAI0C05330	Smik_2.299	Skud_2.286	TBLA0H03430	Suva_4.410	TPHA0L01460	TDEL0B01260	ZYRO0F08756g	Kpol_513.6	Ecym_2565	CAGL0H07513g	KAFR0E03020	ADR059C	KNAG0A03910	KLLA0B09812g	KLTH0E11902g	SAKL0H10780g	NCAS0B02360	Kwal_YGOB_27.11910, Kwal_27.11910, Kwal_27.11915
N0.HOG0001310	OG0000892	n0	YNL206C	NDAI0F03590	Smik_14.126	Skud_14.130	TBLA0G00380	Suva_14.137	TPHA0H00910	TDEL0A00870	ZYRO0C10318g	Kpol_400.6	Ecym_6448	CAGL0H08041g	KAFR0A07750	ABL165C	KNAG0F01070	KLLA0D18986g	KLTH0B07700g	SAKL0E13530g	NCAS0G01590	Kwal_YGOB_23.4566, Kwal_23.4568, Kwal_23.4566
N0.HOG0001311	OG0000893	n0	YOR032C	NDAI0F00860	Smik_15.210	Skud_15.196	TBLA0J00820	Suva_8.84	TPHA0C00390	TDEL0A04900	ZYRO0G15972g	Kpol_526.29	Ecym_1333	CAGL0H08107g	KAFR0C05940	AER385C	KNAG0B03160	KLLA0E16765g, KLLA0E12541g	KLTH0E02376g	SAKL0G07282g, SAKL0B06534g	NCAS0G00780	Kwal_55.19972
N0.HOG0001312	OG0000894	n0	YGL133W	NDAI0I00850	Smik_7.139	Skud_7.140	TBLA0A02090	Suva_7.131	TPHA0J02490	TDEL0E05420	ZYRO0E07260g	Kpol_1002.41	Ecym_2183	CAGL0H09020g	KAFR0K02380, KAFR0K00210	AFL112W	KNAG0F01880, KNAG0D01020	KLLA0B02090g	KLTH0H03740g	SAKL0A04004g	NCAS0D04080	Kwal_56.24134
N0.HOG0001313	OG0000895	n0	YHR127W	NDAI0F03010, NDAI0B04430	Smik_8.208	Skud_8.188	TBLA0B01120	Suva_15.324	TPHA0F02010	TDEL0B04910	ZYRO0G05874g	Kpol_505.31	Ecym_6376	CAGL0K09812g, CAGL0H09086g	KAFR0F00630	AFR060C	KNAG0H03610	KLLA0A11616g	KLTH0B05742g	SAKL0E11550g	NCAS0B07090	Kwal_33.14670
N0.HOG0001314	OG0000896	n0	YER017C	NDAI0E03580	Smik_5.138	Skud_5.121	TBLA0D04490	Suva_5.109	TPHA0C01520	TDEL0H02770	ZYRO0D15290g	Kpol_401.3	Ecym_1258	CAGL0H09416g	KAFR0G02800	AAR025C	KNAG0L01060	Klac_YGOB_Anc_7.168b, Klac_YGOB_Anc_7.168	KLTH0F13904g	SAKL0F03894g	NCAS0E02020	Kwal_55.21051, Kwal_55.21054
N0.HOG0001315	OG0000897	n0	YER014W	NDAI0E03610	Smik_5.133	Skud_5.118	TBLA0D04450, TBLA0J01690	Suva_5.104	TPHA0C04340	TDEL0H02810	ZYRO0D15202g	Kpol_1062.59	Ecym_1262	CAGL0H09504g	KAFR0G02770	AAR021W	KNAG0L00980	KLLA0B11616g	KLTH0F13794g	SAKL0F04004g	NCAS0E02050	Kwal_55.21034, Kwal_YGOB_55.21029
N0.HOG0001316	OG0000898	n0	YER008C	NDAI0A08310	Smik_5.123	Skud_5.108	TBLA0A01080, TBLA0J01910, TBLA0J01890	Suva_5.96	TPHA0I02100	TDEL0H03180	ZYRO0G03916g	Kpol_328.2	Ecym_4472	CAGL0H09680g	KAFR0L00560	ADR012C	KNAG0L00830	KLLA0D13530g	KLTH0F13332g	SAKL0F04510g	NCAS0I00730	Kwal_55.20943
N0.HOG0001317	OG0000899	n0	YBR054W, YDR033W	NDAI0A05770, NDAI0A07380	Smik_2.177, Smik_4.268	Skud_2.169, Skud_4.286		Suva_4.286, Suva_2.186	TPHA0A04060, TPHA0M01030	TDEL0D03620	ZYRO0A03168g	Kpol_431.2, Kpol_1061.10		CAGL0H10076g, CAGL0K11880g			KNAG0H01270			SAKL0D03652g	NCAS0A10530, NCAS0I01660	
N0.HOG0001318	OG0000900	n0	YBR058C-A	NDAI0A07420	Smik_2.190	Skud_2.178	TBLA0I01920	Suva_4.296	TPHA0M01110	TDEL0D03530	ZYRO0E06842g, ZYRO0E06820g	Kpol_251.5, Kpol_1052.23	Ecym_2649	CAGL0H10202g	KAFR0C00420	AGR026C	KNAG0J00810	KLLA0F18634g	Kthe_YGOB_Anc_3.272	SAKL0D03256g	NCAS0I01610	Kwal_27.10949
N0.HOG0001319	OG0000901	n0	YDL115C	NDAI0B03350	Smik_4.121	Skud_4.139	TBLA0B09530	Suva_4.131	TPHA0G00950	TDEL0G02520	ZYRO0F08008g	Kpol_534.7	Ecym_3362	CAGL0H10472g, Cgla_YGOB_H10472	KAFR0A06850	ADL291W	KNAG0A05510	KLLA0E09131g	Kthe_YGOB_F09306, KLTH0F09306g	SAKL0E06754g	NCAS0B06040	Kwal_23.3435
N0.HOG0001320	OG0000902	n0	YGL054C	NDAI0I01780	Smik_7.226	Skud_7.227	TBLA0E00460, TBLA0A09890	Suva_7.219	TPHA0B02720	TDEL0G03690	ZYRO0C05126g	Kpol_478.19, Kpol_530.47	Ecym_3084	CAGL0I00440g	KAFR0A04750	AAR149W	KNAG0F03240	KLLA0C05478g	KLTH0H06886g	SAKL0A07414g	NCAS0D03130	Kwal_14.1862
N0.HOG0001321	OG0000903	n0	YMR144W	NDAI0H03000, NDAI0E01740	Smik_13.342	Skud_13.304	TBLA0B08870	Suva_13.323	TPHA0G02590	TDEL0G03150	ZYRO0A08294g	Kpol_1058.52	Ecym_6050	CAGL0I00770g	KAFR0F02950	ADR259W	KNAG0A05860	KLLA0E21957g	KLTH0H15664g	SAKL0E05126g	NCAS0A03960, NCAS0D01160	Kwal_34.15839
N0.HOG0001322	OG0000904	n0	YDL081C	NDAI0E01710	Smik_4.155	Skud_4.174	TBLA0B08840	Suva_4.166	TPHA0G02600	TDEL0G03180	ZYRO0A08360g	Kpol_1046.10	Ecym_6053	CAGL0I00814g	KAFR0F02980, KAFR0B05090	ADR256W	KNAG0A05890	KLLA0E22023g	KLTH0H15598g	SAKL0E05060g	NCAS0D01190, NCAS0A03990	Kwal_34.15846
N0.HOG0001323	OG0000905	n0	YJR035W	NDAI0G04840	Smik_10.309	Skud_10.254	TBLA0D01950	Suva_12.118	TPHA0B04000	TDEL0B05330	ZYRO0E03190g	Kpol_1067.28	Ecym_1369	CAGL0I01694g	KAFR0F01350	AEL065C	KNAG0I00420	KLLA0E22617g	KLTH0H14300g	SAKL0D11198g	NCAS0A08380	Kwal_34.16080, Kwal_YGOB_34.16082, Kwal_34.16082
N0.HOG0001324	OG0000906	n0	YHR170W	NDAI0C03380	Smik_8.254	Skud_8.234	TBLA0C06600	Suva_15.370	TPHA0H01170	TDEL0G00910	ZYRO0C11704g	Kpol_1062.4	Ecym_5097	CAGL0I02398g	KAFR0B04460, KAFR0E02270	AER299C	KNAG0K00420, KNAG0E00710	KLLA0A05159g	KLTH0H00594g	SAKL0H02134g	NCAS0D01360	Kwal_56.24766
N0.HOG0001325	OG0000907	n0																			NCAS0I01900	
N0.HOG0001326	OG0000907	n2	YDL012C		Smik_4.222	Skud_4.241	TBLA0B01680	Suva_4.237		TDEL0D04340		Kpol_1036.51	Ecym_5263	CAGL0K01903g		AER212W		Klac_YGOB_Anc_3.187	KLTH0E15840g	SAKL0C08008g		Kwal_YGOB_Anc_3.187
N0.HOG0001327	OG0000907	n15	YBR016W		Smik_2.135	Skud_2.128		Suva_2.144			ZYRO0A04972g			CAGL0I04510g	KAFR0C00880							
N0.HOG0001328	OG0000908	n0	YBR042C	NDAI0A06360	Smik_2.160	Skud_2.154	TBLA0I01850	Suva_4.274	TPHA0A04110, TPHA0M00870	TDEL0D03810	ZYRO0A03586g	Kpol_1037.58, Kpol_1036.6	Ecym_4505	CAGL0I04620g	KAFR0C00610	ACL173C	KNAG0J00970	KLLA0B06820g	KLTH0C08096g	SAKL0D04092g	NCAS0I01760	Kwal_56.22943
N0.HOG0001329	OG0000909	n0	YER100W	NDAI0A01650, NDAI0E04170	Smik_5.246	Skud_5.225	TBLA0D00600	Suva_5.219	TPHA0K00820	TDEL0C01550	ZYRO0B03344g	Kpol_1045.39	Ecym_4683	CAGL0I05478g	KAFR0L01750	AGR372W	KNAG0B02360	KLLA0E20395g	KLTH0C06688g	SAKL0F12474g	NCAS0A14390, NCAS0E02600	Kwal_27.10837
N0.HOG0001330	OG0000910	n0	YJL141C	NDAI0G06240	Smik_10.91	Skud_10.73	TBLA0B06510, TBLA0D05770	Suva_6.221, Suva_6.222	TPHA0A04570	TDEL0H00890	ZYRO0D02970g	Kpol_1060.53, Kpol_2001.10		CAGL0I05896g	KAFR0F01940	ACR249C	KNAG0C02600	KLLA0A05819g	KLTH0F05522g	SAKL0C06248g	NCAS0I02680	Kwal_33.13984
N0.HOG0001331	OG0000911	n0	YJL154C	NDAI0B00130, NDAI0A01010	Smik_10.80	Skud_10.62	TBLA0C05900, TBLA0A06270	Suva_6.232	TPHA0E03260	TDEL0C03600	ZYRO0G18194g	Kpol_2002.79	Ecym_5180	CAGL0I06072g	KAFR0G00540	AEL107W	KNAG0C01130	KLLA0B07535g	KLTH0F05148g	SAKL0C05764g	NCAS0B08230	Kwal_33.13902
N0.HOG0001332	OG0000912	n0	YER150W, YDR077W	NDAI0A03600	Smik_5.315, Smik_4.315	Skud_5.287, Skud_4.331	TBLA0E00780, TBLA0B08070, TBLA0A08630	Suva_5.278, Suva_2.236		TDEL0B04090			Ecym_5545	CAGL0I06644g, CAGL0K10164g		AGR138W		KLLA0E01057g	KLTH0H07414g	SAKL0H18700g	NCAS0B04190	Kwal_14.1959
N0.HOG0001333	OG0000913	n0	YOR136W	NDAI0C01410	Smik_15.316	Skud_15.300	TBLA0B02240	Suva_8.188	TPHA0E01480, TPHA0J02770	TDEL0A03370	ZYRO0D11220g	Kpol_440.12, Kpol_543.8	Ecym_2313	CAGL0I07227g	KAFR0B06370	AFR137C	KNAG0B04070	KLLA0E03125g	KLTH0F15048g	SAKL0G03520g	NCAS0H02250	Kwal_55.21273
N0.HOG0001334	OG0000914	n0	YGR165W	NDAI0D02110	Smik_6.274	Skud_7.492	TBLA0B06590	Suva_7.457	TPHA0A04640	TDEL0E04640	ZYRO0G12320g	Kpol_1060.47	Ecym_8215	CAGL0I08877g	KAFR0K00900	AGR311C	KNAG0E03720	KLLA0F22495g	KLTH0B02266g	SAKL0G13794g	NCAS0A07050	Kwal_33.15361, Kwal_YGOB_33.15360, Kwal_33.15360
N0.HOG0001335	OG0000915	n0	YFR028C	NDAI0G05910, NDAI0B04610	Smik_7.342	Skud_6.115	TBLA0D04930	Suva_6.100	TPHA0O01230	TDEL0D02170	ZYRO0G00616g	Kpol_1008.28	Ecym_2755	CAGL0I09064g	KAFR0A00920	AEL025W	KNAG0I01530	KLLA0B06622g	KLTH0H13156g	SAKL0D09988g	NCAS0A09040, NCAS0B07280	Kwal_0.394
N0.HOG0001336	OG0000916	n0	YOR304W	NDAI0E00610	Smik_15.485	Skud_15.471	TBLA0D00800	Suva_8.355	TPHA0G01190	TDEL0B03310	ZYRO0F12320g	Kpol_YGOB_1010.11, Kpol_1010.9, Kpol_1010.11	Ecym_1481	CAGL0I09614g	KAFR0D01520	AFR537W	KNAG0G03130	KLLA0F24838g	KLTH0H15158g	SAKL0B05544g	NCAS0B00810	Kwal_34.15925
N0.HOG0001337	OG0000917	n0	YOR320C	NDAI0K00720	Smik_15.501	Skud_15.488	TBLA0B02720	Suva_8.371, Suva_8.372	TPHA0I00600, TPHA0G01070	TDEL0B01000	ZYRO0F12738g	Kpol_480.26		CAGL0I09922g	KAFR0B03610		KNAG0J00550	KLLA0C14366g, KLLA0B03135g	KLTH0E14014g	SAKL0B06248g	NCAS0C00690, NCAS0B00960	Kwal_27.12335
N0.HOG0001338	OG0000918	n0	YGR130C	NDAI0G00940	Smik_6.226	Skud_7.441	TBLA0C04480	Suva_7.418	TPHA0D04250	TDEL0D05600	ZYRO0D09988g	Kpol_480.14	Ecym_1237	CAGL0I10516g	KAFR0C01960, KAFR0G03690	AFR310C	KNAG0B00810, KNAG0A07940	KLLA0D16236g	KLTH0F14828g	SAKL0F02772g	NCAS0E00810	Kwal_55.21229
N0.HOG0001339	OG0000919	n0	YIR001C	NDAI0H02090	Smik_9.200	Skud_9.178	TBLA0A01040	Suva_9.210		TDEL0H03080	ZYRO0D09482g	Kpol_499.24	Ecym_4483	CAGL0J02200g	KAFR0K01170	ADR001C	KNAG0G01000	KLLA0D13772g	KLTH0B02992g, KLTH0F13090g	SAKL0F04774g, SAKL0G12474g	NCAS0A07700	Kwal_33.15208, Kwal_55.20903
N0.HOG0001340	OG0000920	n0	YIL031W	NDAI0A02780	Smik_9.159	Skud_9.137	TBLA0D04630	Suva_9.168	TPHA0C04540, TPHA0C01430	TDEL0H02500	ZYRO0D15862g	Kpol_1063.8, Kpol_401.13	Ecym_4350	CAGL0J02464g	KAFR0A02630	ADL089C	KNAG0H02800	KLLA0F27665g	KLTH0E04532g	SAKL0F07524g	NCAS0A13240	Kwal_55.20363
N0.HOG0001341	OG0000921	n0	YER069W	NDAI0E04870	Smik_5.203	Skud_5.186	TBLA0C04690, TBLA0J01360	Suva_5.181	TPHA0J00930	TDEL0H01930	ZYRO0C08404g	Kpol_259.2, Kpol_411.16	Ecym_4323	CAGL0J03124g	KAFR0L00980	ADL062W	KNAG0L01590	KLLA0C07997g	KLTH0A04576g	SAKL0F08888g	NCAS0E03270	Kwal_23.5867
N0.HOG0001342	OG0000922	n0	YCR065W	NDAI0K01590, NDAI0I00410	Smik_3.166	Skud_3.139	TBLA0I02350, TBLA0F04070	Suva_3.103	TPHA0D03900	TDEL0A07460	ZYRO0D08426g	Kpol_1028.47	Ecym_2489	CAGL0J03608g	KAFR0F02850	AAR050C	KNAG0I02890	KLLA0C08778g	KLTH0A06534g	SAKL0A01496g	NCAS0D04530	Kwal_23.6278
N0.HOG0001343	OG0000923	n0	YMR234W		Smik_13.442	Skud_13.403		Suva_13.418			ZYRO0C01078g											
N0.HOG0001344	OG0000923	n3		NDAI0E00670			TBLA0D00880		TPHA0G01250	TDEL0B03440		Kpol_1028.104	Ecym_2463	CAGL0J04246g	KAFR0D01440	ABL017C	KNAG0G03060	KLLA0B12958g	KLTH0E04202g	SAKL0B05214g	NCAS0B00740, NCAS0C00850	Kwal_55.20298
N0.HOG0001345	OG0000924	n0	YJL047C	NDAI0G05880	Smik_10.194	Skud_10.142	TBLA0F03430	Suva_6.121	TPHA0O01340	TDEL0D02110	ZYRO0B09020g	Kpol_1035.12	Ecym_2336	CAGL0J04862g	KAFR0A00890	AFR617C	KNAG0E02690	KLLA0F02145g	KLTH0H11176g	SAKL0D07480g, SAKL0D07436g, SAKL0D07458g	NCAS0A09070	Kwal_0.70
N0.HOG0001346	OG0000925	n0	YNL155W	NDAI0F03140	Smik_14.173	Skud_14.178	TBLA0D00260	Suva_14.184	TPHA0F02080, TPHA0I01250	TDEL0F00920	ZYRO0G05434g	Kpol_1039.63, Kpol_1027.18	Ecym_6393	CAGL0J05962g	KAFR0A07310	AFR041C	KNAG0F01500	KLLA0D10978g	KLTH0B06160g	SAKL0E12056g	NCAS0G02130	Kwal_33.14603
N0.HOG0001347	OG0000926	n0	YNL172W	NDAI0F03300	Smik_14.157	Skud_14.161	TBLA0B00830	Suva_14.168	TPHA0F02290	TDEL0F00700	ZYRO0G04928g	Kpol_1051.28	Ecym_6414	CAGL0J06248g	KAFR0A07470	AFR021W	KNAG0F01340	KLLA0D08118g	KLTH0B06820g	SAKL0E12650g	NCAS0G01970	Kwal_33.14481, Kwal_33.14490, Kwal_YGOB_33.14481
N0.HOG0001348	OG0000927	n0	YML106W	NDAI0E00370, NDAI0K00480	Smik_13.28	Skud_13.35	TBLA0B03170	Suva_13.38	TPHA0I00390	TDEL0B00700	ZYRO0G13816g	Kpol_1069.5	Ecym_2705	CAGL0J06600g	KAFR0B03650	AER290C	KNAG0G03350	KLLA0D01903g	KLTH0C04158g	SAKL0D01826g	NCAS0B01070, NCAS0C00480	Kwal_27.10337
N0.HOG0001349	OG0000928	n0	YNL243W	NDAI0F03940	Smik_14.92	Skud_14.95	TBLA0I02330	Suva_14.99	TPHA0D03880	TDEL0C05830	ZYRO0F15862g	Kpol_1028.49		CAGL0J07656g	KAFR0A08090		KNAG0F00720	KLLA0C03113g, KLLA0B14531g, KLLA0C00330g	KLTH0F03256g, KLTH0F00352g	SAKL0C03652g	NCAS0A00840	Kwal_YGOB_33.13556, Kwal_33.13556
N0.HOG0001350	OG0000929	n0	YNL246W	NDAI0F03970	Smik_14.89	Skud_14.92	TBLA0A05770	Suva_14.96	TPHA0B04160	TDEL0D02270	ZYRO0G00902g	Kpol_2000.29	Ecym_1112	CAGL0J07722g	KAFR0D03730	AER458C, AFR641W, ADL396W	KNAG0F00690	KLLA0C03047g	KLTH0F03190g	SAKL0C03542g	NCAS0A00810	Kwal_33.13550
N0.HOG0001351	OG0000930	n0	YLR207W	NDAI0D00620	Smik_12.265	Skud_12.271	TBLA0E02030	Suva_10.301	TPHA0D04540, TPHA0F02900	TDEL0C02070	ZYRO0F11506g	Kpol_2001.69, Kpol_530.38	Ecym_4518	CAGL0J08756g	KAFR0L01450	ACL160C	KNAG0B02660	KLLA0C16665g	KLTH0H01496g	SAKL0F11000g	NCAS0H00680	Kwal_56.24600
N0.HOG0001352	OG0000931	n0	YLR208W	NDAI0D00630	Smik_12.266	Skud_12.272	TBLA0F02400	Suva_10.302	TPHA0F02890, TPHA0D04530	TDEL0C02080	ZYRO0F11484g	Kpol_530.39, Kpol_2001.68	Ecym_4644	CAGL0J08778g	KAFR0L01440	ACR199C	KNAG0B02670	KLLA0C16643g	KLTH0H01518g	SAKL0F11022g	NCAS0H00700	Kwal_56.24596
N0.HOG0001353	OG0000932	n0	YBR126C	NDAI0A08090, NDAI0A05010	Smik_2.265	Skud_2.253	TBLA0F03140	Suva_4.372	TPHA0A02330	TDEL0C05240	ZYRO0C16940g	Kpol_1043.41	Ecym_3442	CAGL0J09812g	KAFR0D02540	ADL378W	KNAG0B01340	KLLA0B08822g	KLTH0F11550g	SAKL0B08470g	NCAS0I00930, NCAS0A11280	Kwal_23.3898
N0.HOG0001354	OG0000933	n0	YNL180C	NDAI0F03360, NDAI0H03720	Smik_14.150	Skud_14.154	TBLA0B00790	Suva_14.161	TPHA0F02330	TDEL0A01170	ZYRO0C09680g	Kpol_1041.7	Ecym_6421	CAGL0J11242g	KAFR0A07530	ABL139C	KNAG0F01270	KLLA0D08327g	KLTH0B06996g	SAKL0E12848g	NCAS0G01910, NCAS0D00420	Kwal_33.14452
N0.HOG0001355	OG0000934	n0	YNL192W	NDAI0F03480	Smik_14.138	Skud_14.142	TBLA0B00640	Suva_14.149	TPHA0O01680, TPHA0F02420	TDEL0A01000	ZYRO0C10054g	Kpol_1054.24, Kpol_1023.27	Ecym_6436	CAGL0J11506g	KAFR0A07650	ABL153W	KNAG0F01160	KLLA0F20966g	KLTH0B07392g	SAKL0E13222g	NCAS0G01720	Kwal_23.4640
N0.HOG0001356	OG0000935	n0	YKL212W	NDAI0C02580, NDAI0A03810	Smik_11.11	Skud_11.8	TBLA0D03590	Suva_11.8	TPHA0F03640	TDEL0F00280	ZYRO0G02398g	Kpol_1054.59	Ecym_3618	CAGL0K00297g	KAFR0E00190	AER447C	KNAG0G00140	KLLA0B14388g	KLTH0B00946g	SAKL0A10384g	NCAS0G03570, NCAS0A12400	Kwal_33.15585
N0.HOG0001357	OG0000936	n0									ZYRO0B05280g		Ecym_5278			AER198W	KNAG0K01850	KLLA0E13377g	KLTH0C08558g	SAKL0C08470g		Kwal_56.22878
N0.HOG0001358	OG0000936	n9							TPHA0M00440			Kpol_1032.23										
N0.HOG0001359	OG0000936	n10	YDL045C	NDAI0A06720	Smik_4.194	Skud_4.210	TBLA0E02660	Suva_4.206	TPHA0A00860	TDEL0D04770		Kpol_479.31		CAGL0K01397g	KAFR0F02090						NCAS0I02190	
N0.HOG0001360	OG0000937	n0	YDL025C	NDAI0A06630	Smik_4.209	Skud_4.225	TBLA0F00820	Suva_4.223	TPHA0P00640	TDEL0D04560	ZYRO0B04796g	Kpol_1045.46, Kpol_1041.9	Ecym_5241	CAGL0K01661g	KAFR0F02190	ADR313W	KNAG0K01710, KNAG0J01950	KLLA0C03938g	KLTH0F06578g	SAKL0C07458g	NCAS0I02060	Kwal_33.14192
N0.HOG0001361	OG0000938	n0	YER136W	NDAI0B03000	Smik_5.298	Skud_5.269	TBLA0B08110	Suva_5.259	TPHA0H00130, TPHA0C02840	TDEL0B04350	ZYRO0G09108g	Kpol_1002.106, Kpol_1053.21	Ecym_6223	CAGL0K01925g	KAFR0B02240	AFR183C	KNAG0G01530	KLLA0F09185g	KLTH0H07986g	SAKL0H19338g	NCAS0B05720	Kwal_14.2064
N0.HOG0001362	OG0000939	n0	YHL011C	NDAI0K01830	Smik_8.31	Skud_8.34	TBLA0I01500, TBLA0G02320	Suva_8.41	TPHA0G03580	TDEL0A03190	ZYRO0B02266g	Kpol_380.1	Ecym_7243	CAGL0K02541g	KAFR0A02000	AGL080C	KNAG0A07070, KNAG0C05650	KLLA0F25718g	KLTH0D07172g	SAKL0A09768g	NCAS0A12560	Kwal_26.8084
N0.HOG0001363	OG0000940	n0	YMR130W	NDAI0H02760	Smik_13.328	Skud_13.290	TBLA0H00260	Suva_13.309, Suva_13.310	TPHA0G02670	TDEL0A01780	ZYRO0A08778g	Kpol_1025.7		CAGL0K03839g	KAFR0A00390	AFR227W	KNAG0E02190	KLLA0F17325g	KLTH0E09306g	SAKL0E04642g	NCAS0F01960	Kwal_47.17810, Kwal_YGOB_47.17810, Kwal_47.17812
